,ID,label,tanggal,judul,narasi,nama file gambar
3902,916208,1,2017-09-29 00:00:00,"Uus: Daripada Nonton Film G30s/PKI Mendingan Nonton Film Miyabi, Lebih Bermanfaat!!","Uus: Daripada Nonton Film G30s/PKI Mendingan Nonton Film Miyabi, Lebih Bermanfaat!!",916208.png
3123,736777,1,2016-12-05 00:00:00,KLAIM SI PENJUAL ROTI YANG BERSEDEKAH DI AKSI DAMAI 212,"SARI ROTI 212
 
 Roti gratis dibayar cash dr Allah Yang Maha Kaya
 
 SI PENJUAL ROTI YANG BERSEDEQAH",736777.jpg
1338,310728,1,2016-12-16 00:00:00,BAHAYA TANAMAN PENYEBAB LEUKIMIA,"Yang WA ini teman saya juga dokter.
 BAHAYA PENYAKIT LEUKIMIA !!!!
 Adik ipar saya umur 31 tahun baru meninggal semalam disebabkan oleh Leukimia. Almarhum semasa hidupnya meneliti untuk gelar Master in Botanical di kampus USM mengkaji sejenis tumbuhan ini. Rekan satu tim research beliau sudah meninggal setahun yang lalu mengidap penyakit leukimia juga. Almarhum dapat bertahan hingga semalam. Memang hasil penelitiannya telah disahkan oleh pihak kampus USM dan pihak Kementrian Kesehatan bahwa Leukimia itu dapat ditimbulkan dari tumbuhan tersebut. Jadi cerita D Hizzad Bole penyebab kanker darah (Leukimia) ternyata terbukti.",310728.jpg
1744,399535,0,2018-01-15 00:00:00,HARIAN KOMPAS UPERCUT JOKOWI. KEMATIAN BAYI BERANTAI DI PAPUA TERSEMBUNYI DIBALIK PENCITRAAN,"HARIAN KOMPAS UPERCUT JOKOWI. KEMATIAN BAYI BERANTAI DI PAPUA TERSEMBUNYI DIBALIK PENCITRAAN
Oleh: Natalius Pigai
Mungkin inilah kesempatan pertama pada Halaman Depan (Headline) Kompas, Media Mainstream Nasional merilis tragedi kemanusiaan di Papua berjudul “ Bencana Kesehatan di Asmat”",399535.png
1815,415377,1,2018-04-21 00:00:00,kotakpandoras: Hasil Polling Google,"Hasil sementara Polling Google terakhir kali dapat dilihat pukul 11.17 WIB (3/4/2018) yg mencatat 58.516 responden. Sebanyak 53.249 responden atau 91% memilih TIDAK SETUJU Jokowi memimpin RI kembali untuk periode 2019-2024.
 #2019GantiPresiden !!",415377.png
3571,838061,1,2019-11-08 00:00:00,"Shoflens Kadang Dipasang Kiri, Kadang Dikanan","Seluruh Indonesia kena tipu.
 Manusia Kadang Kelupaan..
 Itu Shoflens Kadang Dipasang Kiri, Kadang Dikanan..
 Maaf Cuma Mengingatkan Aja Pak.. 😂😂
 
 #SeluruhIndonesiaKenaTipu",838061.png
2784,661734,0,2018-01-04 00:00:00,"Pernyataan Kepala BSSN Soal #HoaxMembangun, dari Maaf hingga Bangga","Kalau itu dianggap suatu kesalahan, ya saya meminta maaf. Tapi niat saya nggak begitu sebenarnya",661734.png
4091,961260,1,2019-09-08 00:00:00,penonton Liga Jerman membuat konfigurasi menghormati Rasulullah,"Masya Allah .. Ratusan ribu penonton sepak bola Liga Jerman, membuat ‘konfigurasi’ utk menghormati Rasulullah SAW. Jerman adlh salah satu negara Eropa yg terpesat perkembangan Islamnya krn dimotori oleh ustaz Pierre Vogel yg seorang muallaf setempat",961260.jpg
3616,846314,1,2019-10-23 00:00:00,"BIARIN SAYA GAK JADI KEPALA, TETAPI NANTI SAYA AKAN MASUK KEDALAM KEPALA DAN MENJADI ISI KEPALA NYA KEPALA.","BIARIN SAYA GAK JADI KEPALA, TETAPI NANTI SAYA AKAN MASUK KEDALAM KEPALA DAN MENJADI ISI KEPALA NYA KEPALA.",846314.png
1424,330586,1,2019-08-22 00:00:00,seperti ketika menghadapi pendemo 21-22 di Jakarta,Apakah Brimob Papua tdk punya senjata seperti ketika menghadapi pendemo 21-22 di Jakarta….#SavePapuaForNKRI,330586.png
2399,561282,1,2019-01-04 00:00:00,masa lewat got sampai nyungsep segitunya,"Ada jalan tol om….masa lewat got sampai nyungsep segitunya….gak lucu kelesss……wkwkkkk

#2019-02 NYUNGSEP",561282.png
1643,374832,0,2018-02-07 00:00:00,Logo Jawapos.com Dicatut untuk Hoax,Logo Jawapos.com Dicatut untuk Hoax,374832.png
4017,943697,1,2020-03-23 00:00:00,Tulisan TO:FRONT PEMBELA ISLAM di Foto Paket Bantuan COVID-19 Tiongkok,TO:FRONT PEMBELA ISLAM,943697.png
1237,290550,1,2019-03-08 00:00:00,Jokowi Akan Hapus Pendidikan Agama Islam Jika Terpilih Kembali Jadi Presiden,"Bukannya kita mau ini, kalau kita memilih Prabowo itu kan kita pikirkan nasib agama kita anak-anak kita, walaupun kitanya tidak menikmati, 5 tahun 10 tahun yang akan datang ini, apakah kita mau kalau pelajaran agama di sekolah dihapuskan oleh Jokowi bersama menteri-menterinya",290550.jpg
309,70978,1,2018-06-26 00:00:00,Foto Salam Dua Jari Kapolda Sumut Paulus Waterpauw Bersama Ketua Relawan Djarot-Sihar,"Foto ""Salam Dua Jari"" Kapolda Sumut Paulus Waterpauw Bersama Ketua Relawan Djarot-Sihar",70978.jpg
2367,555095,1,2018-01-30 00:00:00,Pesan Tersembunyi di Google Translate,Maaf saya sendiri Gak tau kenapa saat coba diterjemahkan ke dalam bahasa Indonesia Tampilannya jadi seperti itu,555095.png
1745,399893,1,2017-11-16 00:00:00,Video Peresmian Masjid terbesar di RUSIA,"Subhanallaah….
Video Peresmian Masjid terbesar di RUSIA
Dekorasi & Arsitekturnya membayangkan Surga… yang penuh dengan buah2an dan air yang mengalir di bawahnya.
AYat Al Qur’an yang dibaca adalah dari Q.S Ar Rahman.
Selamat menonton",399893.png
2208,515827,1,2016-07-09 00:00:00,Meninggalnya Husni Kamil Manik Dikaitkan dengan Kecurangan di Pilpres 2014,"Ketika tujuh langka terakhir meninggalkan kuburannya, maka sang Malaikat akan bertanya pada Husni Kamil Manik (HKM).",515827.jpg
2648,621154,0,2017-11-01 00:00:00,Semua Pertanyaan Anda Soal Registrasi SIM Card Terjawab,Semua Pertanyaan Anda Soal Registrasi SIM Card Terjawab,621154.png
1221,288119,1,2020-04-10 00:00:00,Lagu corona dr Bimbo.. lagu 30 tahun yang lalu jadi kenyataan sekarang,"Lagu “corona” dr Bimbo.. dulu hanya dianggap sbg lagu.. ternyata skrg terbukti.. Lagu 30 th yl jadi kenyataan sekarang, luar biasa…Subhanallah",288119.png
1726,395765,1,2019-10-21 00:00:00,"McDonald, KFC, Dominos, dan Pizza Hut Sudah Dicabut Sertifikasi Halalnya","Dgn dicabutnya sertifikat HALAL oleh Amerika sendiri, maka Mc Donald menjadi tidak halal bagi muslimin
 
 AMERIKA TELAH MENCABUT SERTIFIKAT HALAL THD PRODUK2 Mc DONALD ada translate nya ya geus dibawah klo mls bca bhs asingnya langsung aj bc bhs indonesia nya",395765.jpg
99,23171,1,2017-10-23 00:00:00,Rombongan Anies-Sandi Ditilang dan Tak Miliki Izin Patwal di Puncak Bogor,Rombongan Anies-Sandi Ditilang dan Tak Miliki Izin Patwal di Puncak Bogor,23171.jpg
2229,519865,1,2019-03-15 00:00:00,Maklumat Masyayikh Ponpes Lirboyo Dukung Prabowo - Sandi,"MAKLUMAT MASYAYIKH
PONDOK PESANTREN LIRBOYO
KOTA KEDIRI JAWA TIMUR",519865.png
3150,743302,1,2018-03-07 00:00:00,Registrasi Ulang Nomor Ponsel Akan Digunakan Atas Nama China,HATI” BAGI YANG SUDAH REGISTRASI ULANG NO HP NIK DAN KK ANDA AKAN DIGUNAKAN ATAS NAMA CHINA SEPERTI INI…..🙈🙈,743302.png
3063,724138,1,2019-06-17 00:00:00,Voucher Gratis Go-pay Rp500 Ribu di LINE,"GOPAY Rp. 500.000 Gratis

Silahkan buka voucher",724138.png
1626,371584,1,2019-08-09 00:00:00,Orang mati hidup kembali di Sampang ternyata pura-pura karena terlilit hutang.,"Mau dimandikan,,
 Orang Mati Hidup Kembali di Sampang – Madura",371584.png
1162,270352,1,2020-08-23 00:00:00,Pernyataan Jokowi Ekonomi Indonesia Terjun Bebas Tidak Diberi Utang Lagi,"anjai… ancor..ancorrrrrr…. ayooooo.. mau bikin apa lagi…” “Jokowi – Pertumbuhan Ekonomi Indonesia “Terjun Bebas” ngutang, enggak diberi lagi, gaess",270352.jpg
2019,470743,1,2019-03-11 00:00:00,"Pantesan Kampanye 70K0W1 Selalu Sepi, Uang Transport Massa Ditilep Tim Suksesnya Sendiri","PANTESAN KAMPANYE 70K0W1 SELALU SEPI!! UANG TRANSPORT MASSA DITILEP TIM SUKSESNYA SENDIRI!! NGAKAK SUMPAH #BandungPilih_Prabowo_Sandi,",470743.png
1006,234115,1,07-Okt-18,REKENING GENDUT JOKOWI DI LUAR NEGERI TIDAK DILAPORKAN,tidak ada satu pun rekening di luar negeri atas nama Jokowi,234115.jpg
3951,929933,1,2019-01-03 00:00:00,TNI-Polri Pose Dua Jari Dukung Prabowo-Sandiaga,"Alhamdulillah… TNI, AU, AL kini dah mulai terang”an memdukung PrabowoSandi Merdeka… AllahuAkbar..",929933.jpg
1260,295497,1,2020-07-06 00:00:00,Tenaga Medis di Sampang Sengaja Sebarkan Corona Dengan Cara Disuntik,"Mon tak mateh yah ken esuntik mateh le pas epositif aghi corona (Kalau tidak meninggal pasiennya disuntik mati. Lalu dikatakan karena korona), Karena bagi para dokter korona itu uang",295497.png
461,105165,0,2017-10-05 00:00:00,"Mulai Tahun Depan, PDIP Minta MUI Agar Babi Panggan Halal...","“MULAI TAHUN DEPAN, PDIP MINTA MUI AGAR BABI PANGGAN HALAL UNTUK DIKONSUMSI DIKALANGAN MASYARAKAT TERMASUK PESANTREN",105165.png
2240,523335,0,2017-03-03 00:00:00,Dana Santunan Haji Korban Kecelakaan Mekkah 2015 Ditahan oleh Kemenlu,"*Valid*
 Sangat luar biasa zholim…!
 Masih ingat peristiwa Crane di Masjidil Haram..?
 Kerajaan Saudi bertanggung jawab dan akan menyantuni para korban, tnyata sudah cair sejak lama tapi belum disalurkan kepada korban oleh Kemlu, dengan alasan masih verifikasi…!
 brp lama verifikasinya pak..?
 Sampai kapan itu diverifikasi?
 Sementara kafir Harbi, Syiah dan kelompok munafik terus menerus membuat fitnah kepada Arab Saudi.",523335.jpg
3566,837274,1,2020-03-17 00:00:00,"Satu lagi Mentri Kabinet Jokowi Positif terpapar COVID-19, Menteri Nadien Dinyatakan Positif Virus Corona, Jalani Isolasi Secara Mandiri","Menteri Nadien Dinyatakan Positif Virus Corona, Jalani Isolasi Secara Mandiri",837274.png
4082,959617,1,2020-05-05 00:00:00,Ormas FPI Sweeping Rumah Makan di Ciamis,FPI di Ciamis,959617.png
599,139341,1,2020-08-17 00:00:00,Situs gurubp.com Inilah kerjaan Menteri Ojol Koplak,"Inilah kerjaan Menteri Ojol Koplak
 Yang Justru Merusak Pendidikan Moral Anak-anak",139341.jpg
817,189622,1,2020-05-02 00:00:00,Warga Jombang Jadi Korban Modus Penipuan Ilmu Gendam,"AWAS MODUS PENIPUAN..!!! ONOK SURVEY KESEHATAN ( SALES OBAT TAPI GAWE GENDAM ) MODUSE MERIKSO / SURVEY KESEHATAN KARO TAKON” ,UJUNG UJUNGE BAYAR DUIT PERIKSO KARO NEBUS OBAT ATUSAN EWU",189622.png
2215,516324,1,2020-08-04 00:00:00,"Datangi Polresta Bogor, Presiden Jokowi Urus Sendiri Perpanjangan SIM","Datangi Polresta Bogor, Presiden Jokowi Urus Sendiri Perpanjangan SIM",516324.png
3601,843470,0,2016-08-08 00:00:00,"Sepi Dari Pemberitaan, Tiga Biksu Asal China Ditangkap Karena Edarkan Uang Palsu","Sepi Dari Pemberitaan, Tiga Biksu Asal China Ditangkap Karena Edarkan Uang Palsu",843470.jpg
3753,883519,0,2017-09-06 00:00:00,Foto Munas Partai Hanura ada Ahok,Di foto ini pada acara Munas Partai Hanura beberapa hari yang lalu di Bali. Perhatikan di foto ini yang paling kiri pasti ada yang kenal? Hmmmm luar biasa.,883519.jpg
497,115208,1,2020-07-11 00:00:00,Foto All Jakarta Water Park,PERKENALKAN: ALL JAKARTA WATER PARK,115208.png
3578,838844,1,2019-06-12 00:00:00,Peaceful days in Shanghai,Peaceful days in Shanghai.,838844.png
297,66877,1,2020-04-17 00:00:00,Sabam Sirait Meninggal Dunia Pada 17 April 2020,"Berita Dukacita; Telah dipanggil Bapa Di Surga Sabam Sirait, pada:",66877.jpg
2610,610854,0,2018-10-20 00:00:00,Kementrian Agama Bantah Sertifikat Perizinan Untuk Kelompok Bimbingan Ibadah Haji,"MENTERI AGAMA REPUBLLIK INDONESIA

Memberikan Ijin Operasional Penyelenggaraan Ibadah Haji dan Umrah serta
Kelompok Bimbingan Ibadah Haji, kepada: (NAMA TERTENTU)",610854.jpg
3522,826716,1,2017-01-07 00:00:00,China Ciptakan Sayuran Kol Sintetis,China Ciptakan Sayuran Kol Sintetis,826716.jpg
3022,714324,1,2020-03-22 00:00:00,"Mantap cara presiden Vladimir Putin, dengan menyebar hewan buas supaya warganya tidak keluar rumah","Mantap cara presiden Vladimir Putin,..dengan menyebar hewan buas,…supaya warganya tidak keluar rumah….. Lain di Negara +62….bukan hewan buas yg di sebar…malah kodok dan cebong yang di sebar",714324.png
990,228930,0,2016-11-24 00:00:00,: Cuitan Di Twitter Karyawan PT Adhi karya Terhadap Gus Mus Bijak Bersosial Media,"@gusmusgusmu Dulu gk ada aspal Gus di padang pasir, wahyu pertama tentang shalat jumat jga saat Rasullullah hijrah ke Madinah. Bid’ah ndasmu!",228930.jpg
2619,612232,1,2018-03-07 00:00:00,Henry Cavill Meninggal,Terdapat keterangan didalam wikipedia yang menjelaskan jika Henry Cavill telah meninggal pada tanggal 3 maret 2018.,612232.jpg
1902,441708,1,2017-01-05 00:00:00,: Lafadz Allah Pada Pohon Natal di Novita Hotel,Lafadz Allah Pada Pohon Natal di Novita Hotel,441708.jpg
2844,674668,1,2019-08-19 00:00:00,Polisi Sebut Foto Mahasiswa Papua di Surabaya Tewas Dipukuli Hoaks,HOAX atau TIDAK BENAR,674668.png
93,21946,1,2018-05-25 00:00:00,"Tersangka Ujaran Kebencian Dosen USU, Himma Dewiyana, Dibebaskan",Terima kasih bang Romo Syafi’i dan Ketua KAHMI telah membantu membebaskan ibu Himma.,21946.png
561,131528,1,2020-07-17 00:00:00,Model baru baju batik Korpri,"Model baru ni ye….? Yg melihat pasti tertawa cara perpakaiannya,bukan di lihat rapi tapi jawab sendiri ya….takut Dosa.",131528.png
1242,292025,1,2018-07-16 00:00:00,Rumah Sakit Jiwa Kecebong,RUMAH SAKIT JIWA KECEBONG,292025.png
2057,478683,0,2019-04-22 00:00:00,Video Petugas KPPS Coblos Surat Suara di Boyolali,"Astagfirullahal azim..Mau jadi apa bangsa ini, kalo diurus penyelenggara spt ini..semua kartu suara di coblos oleh 1 org, yg lain tinggal masukan ke kotak sj.. pantesan sj di boyolali 01 dapat 100% suara, krn si baju batik yg nyoblosin semua.",478683.png
2812,668453,1,2018-09-15 00:00:00,Mahasiswa Mulai Bergerak Berdemo ... dan Tadi di Jakarta,"“Mahasiswa Mulai Bergerak Berdemo dari Pekanbaru, Medan, Lampung, Jambi, dan Tadi di Jakarta.",668453.jpg
3671,863138,1,2019-07-30 00:00:00,Seorang Perempuan Rela Digilir Demi Lunasi Hutang Pada Fintech,"seorang perempuan berinisial YI asal solo yang rela digilir demi melunasi hutang pinjaman online sebesar Rp 1.054.000. sebelumnya korban mengajukan pinjaman ke fintech Incash sebesar Rp 1 juta, Namun uang yang dia terima hanya Rp 680.000.",863138.jpg
4209,992848,1,2018-01-11 00:00:00,: Tes Sederhana Deteksi Asam Urat,Tes Sederhana Deteksi Asam Urat,992848.jpg
23,7914,1,2016-07-13 00:00:00,: Hati -hati Panggilan Telpon Nomor Tidak Dikenal !!,Hati -hati Panggilan Telpon Nomor Tidak Dikenal !!,7914.jpg
655,151373,1,2019-02-17 00:00:00,"Waspada, indikasi nyata PKI mulai bangkit","Info & Mohon Kroscek ke yg ada akses ke TKP! 🙏

Dan Waspada, indikasi nyata PKI mulai bangkit..",151373.png
3158,745061,1,2016-11-19 00:00:00,Suara Adzan Yang Masih Berkumandang di Masjid Yang Sudah Tutup di Inggris,"SUBHANALLAH …..
 Video sebuah masjid yang sudah resmi ditutup oleh pemerintah Inggris dan sudah tidak ada aktifitas didalamnya akan tetapi terdengar dari masjid tersebut suara adzan setiap masuk waktu sholat. Subhanal￼lah… Sungguh satu keajaiban. Terlihat banyak wartawan yang meliput dan mengabadikan kejadian ini. Kejadian ini terjadi di London.. Masjid ini telah diperintahkan oleh pemerintah supaya semua aktivitasnya di hentikan dan masjid ini juga di tutup.. tidak ada lagi supply listrik dan di jaga dengan ketat, tapi dengan kuasa Allah setiap waktu sholat tiba ternyata masih berkumandang adzan walaupun sudah tidak ada siapapun didalam masjid yang kosong itu, baik sang muadzin yang melakukan adzan.. Allah menunjukkan kebesaran-Nya..￼ Allahu Akbar… (From IFA ZAIYANA ,semoga menambah,Iman dan Taqwa kita)",745061.jpg
2171,507182,0,2017-01-19 00:00:00,Ormas Pemuda Pancasila Siap Membantu Jika Ada Oknum Yang Mencelakai FPI,Ormas Pemuda Pancasila Siap Membantu Jika Ada Oknum Yang Mencelakai FPI,507182.jpg
2130,498797,1,2017-02-21 00:00:00,Anak Durhaka Berubah Menjadi Ikan,Beredar video ikan berbentuk aneh dengan judul video “Anak Durhaka.”,498797.png
2720,644235,1,2018-07-21 00:00:00,Mobil Mba Neno Dibakar,MOBIL MBA NENO DIBAKAR,644235.png
3898,915032,1,2018-04-27 00:00:00,BADAI TROPIS CEMPAKA MENGARAH KE YOGYAKARTA,"Kepala Stasiun Klimatologi Mlati Yogyakarta, Agus Sudaryatno : “Pada tanggal 25 April 2018 telah beredar info adanya Badai Tropis Cempaka yang akan bergerak ke barat/selatan dan berdampak hujan lebat, angin kencang dan gelombang tinggi bahkan berpotensi menimbulkan puting beliung di wilayah Yogyakarta dan Jawa Tengah dalam 3 hari ke depan. Info tersebut menyebar melalui media sosial whatsapp yang menyatakan dimuat di breaking news TV one dan direalese oleh BMKG DIY-Jateng,”.",915032.png
807,186632,0,2017-12-27 00:00:00,Membumikan Bikini di Tempat Umum dengan Selfie,"Btw. Inilah Revolusi Mental Pancasila ala Jokowi, membumikan bikini di tempat umum dengan selfie. “For woman, just use bra & panties is OK OK aja dan bisa selfie with Mr President.” Aku cuma mau kasih tau inilah Icon Negara Kamu! Bukan OWI namanya klo tidak begitu, yang jadi aurat agama harus di lawan, pesta kawinin anak dibulan Asyura-Arbain, agama nyuruh tutup aurat doi proklamirkam anti Tuhan dengan selfienya. Ya inilah junjungan Islam NUsantara dan Syiah Imam 9 Naga ??",186632.jpg
174,38203,1,2018-06-26 00:00:00,Valid! Jokowi Menjual Indonesia,JOKOWI MENJUAL INDONESIA*,38203.png
393,90690,1,2020-07-07 00:00:00,Anies Sebut Solusi Banjir adalah Tinggal Tunggu Musim Kemarau,SOLUSI BANJIR ITU MUDAH TINGGAL TUNGGU MUSIM KEMARAU,90690.jpg
438,99926,1,2020-03-22 00:00:00,100 GB Gratis Ulang Tahun ke 21 Google,GOOGLE 21st Birthday Offer GOOGLE is celebrating its 21st birthday by giving 100GB 4G Free Data to all users.,99926.png
3781,889781,1,24-Agu-18,Sri Mulyani Tantang Pembenci Jokowi,"SRI MULYANI: Wahai Para Pembenci Pak Jokowi,. Kalian Semua Sakit Jiwa!!!",889781.jpg
1580,364241,1,2019-03-13 00:00:00,Mozaik Betawi Pilih Nomor 2,"Ini Baru Betawi 100%..
Betawi Punya Gayeee.",364241.png
1551,357024,1,03-Okt-18,zionis Israel menebar VIRUS AIDS disetiap pembalut wanita,Kabar duka untuk kita umat Islam Nandang Burhanudin,357024.jpg
315,73385,0,2016-10-11 00:00:00,Februniye Walikota Kristen Pertama Di Kota Mardin yang Mayoritas Warganya Beragama Islam,"Di dalam pemberitaannya, portal okterus.com mengatakan bahwa Kota Mardin, Turki memiliki Walikota Kristen perempuan pertama, yakni Februniye Akyol.",73385.jpg
862,197986,1,2020-04-14 00:00:00,Jokowi Keluarkan Kartu Corona Indonesia Sehat,JOKOWI keluarkan KARTU SAKTI untuk hadapi virus CORONA! Come to inpes awer contri you don be apraid! CORONA is not problem my contri is peri perii aman!,197986.jpg
1498,344392,1,2020-07-28 00:00:00,Inventaris Pesawat Terbang Untuk Para Camat di Kabupaten Cilacap,"Vidio iventaris pesawat terbang untuk para Camat di Kab Cilacap , hebat Cilacap Bercahaya.",344392.png
217,49462,1,2020-07-29 00:00:00,5G antenna in your mask,5G antenna inside of your masks,49462.png
3257,769431,0,2016-12-23 00:00:00,Foto Jembatan Cisomang Jalan Tol Purbaleunyi Jalan Tol Purbaleunyi Bergeser,"Dari hasil evaluasi yang dilakukan oleh PT. Jasa Marga sebagai Badan Usaha Jalan Tol (BUJT) yang dilaporkan kepada Komisi Keamanan Jembatan dan Terowongan Jalan (KKJTJ) dan Badan Pengatur Jalan Tol (BPJT) pada hari Kamis, 22 Desember 2016 diperoleh hasil bahwa telah terjadi pergeseran (deformasi) pada pilar kedua (P2) yang sudah melebihi batas izin yang disyaratkan, namun demikian vibrasi jembatan tersebut masih dalam ambang batas aman",769431.jpg
4028,947017,1,2018-09-10 00:00:00,Judul berita H. Yakut : Rencana Banser Uji Nyali Ke Papua Di Batalkan Karena Hanya Tersisa 4 Orang. di tangkapan layar hasil suntingan,"Kalo buat jaga gereja aja pada sanggup,.
 Uji nyali ke papua jiper sisa 4 orang aja",947017.jpg
2948,698650,1,2019-12-05 00:00:00,Minuman Probiotik Dapat Membantu Sembuhkan Kanker,FAKTA MENGEJUTKAN !!! Apakah Anda Sering Minum YAKULT Ini? Kalo Iya Berarti Anda Wajib Baca Ini.. Dan Lihat Fakta No.9 Sebelum terlambat,698650.png
2887,685697,0,2018-04-24 00:00:00,Pengadaan Tas Sembako Jokowi Rp 3 Miliar Sudah Ada Sejak Presiden Terdahulu,"Wow, Terkuak Pengadaan Sembako Bantuan Presiden Pakai Dana APBN Senilai 12 Miliar Lebih!
 Sebelumnya terbongkar pengadaan TAS sembako sedot dana APBN 3 Miliar
 Padahal, Bawaslu sudah memperingatkan Jokowi untuk hentikan kegiatan bagi-bagi sembako.",685697.png
2804,666024,1,2019-11-08 00:00:00,Menhan Prabowo dan Panglima akan menertibkan ORMAS yang berpakaian mirip Uniform TNI,Menhan Prabowo dan Panglima akan menertibkan ORMAS yang berpakaian mirip Uniform TNI sesuai Undang-undang nomor 16 tahun 2017 pasal 59,666024.png
893,204970,1,2020-08-10 00:00:00,Burhanuddin Muhtadi Disebut Dapat Rp450 Miliar untuk Menangkan Jokowi,HANYA DI INDONESIA DATA KEBOHONGAN HARGANYA RATUSAN MILIAR,204970.jpg
3043,719138,0,2017-12-19 00:00:00,Anies Baswedan: Seharusnya Penista Agama Tidak Boleh Mendapatkan Remisi,Anies Baswedan : Seharusnya Penista Agama Tidak Boleh Mendapatkan Remisi Tolong Kemenkumhan Pikirkan Baik-Baik,719138.png
3770,886534,1,2020-03-07 00:00:00,BIADAB JAHANAM MUSLIM INDIA DITEMBAK DITEMPAT #BelaMuslimIndia,"BIADAB !!!
 JAHANAM !!!
 
 MUSLIM INDIA DITEMBAK DITEMPAT
 
 ini berita yang harus kita viralkan tentang kejahatan pemerintah india terhadap umat muslim india
 
 Hasbunallah wani’mal wakiil
 😠😢
 
 HINDU INDIA TERORIST !
 
 #BelaMuslimIndia
 
 #BelaMuslimIndia",886534.png
