,ID,tanggal,judul,narasi,nama file gambar,true_judul,label
21,51423,2019-12-16 0:00:00,"Dirut Garuda, Ari Askhara adalah Anggota BIN","Sebagai informasi
 
 Eks Direktur Utama Garuda I Gusti Ngurah Askhara Danadiputra (Ari Askhara) adalah anggota BIN (Badan Intelijen Negara),",51423.png,"[SALAH] Dirut Garuda, Ari Askhara adalah Anggota BIN",1
22,54023,2018-09-19 0:00:00,"Heboh soal Prasasti SBY, Begini Sejarah Bandara Lombok","“Pak Jokowi, apakah anda tidak punya rasa malu mau mengganti prasasti Bandara Lombok dengan prasasti baru bertandatangan anda?
 ini Video SBY meresmikan membangun dab meresmikan Bandara Lombok”.",54023.jpg,"[BENAR] “Heboh soal ‘Prasasti SBY’, Begini Sejarah Bandara Lombok”",0
23,54558,2018-06-30 0:00:00,Polisi Desersi Menjebak Penghuni Rumah dengan Narkotika,Kemarin jam 15.29 wib. Saya dibuat shock sampai dengkul lemes. Tiba-tiba kedatangan tamu 2 orang.,54558.png,[SALAH] “Polisi Desersi Menjebak Penghuni Rumah dengan Narkotika”,1
24,57723,2020-07-24 0:00:00,Daftar Perlengkapan Medis di Rumah Untuk Hadapi Covid-19,Beberapa tips: Kit Medis Covid Diperlukan dirumah:,57723.jpg,[SALAH] Daftar Perlengkapan Medis di Rumah Untuk Hadapi Covid-19,1
25,57813,2020-07-16 0:00:00,"Foto Barack Obama, Anthony Fauci dan Melinda Gates mengunjungi pabrik coronavirus Laboratorium Cina Wuhan tahun 2015","Foto dari 2015. Gambar dari lima tahun lalu. Laboratorium Cina Wuhan. Barack Obama, Anthony Fauci dan Melinda Gates mengunjungi “pabrik virus”, mungkin untuk memeriksa kemajuan penelitian coronavirus",57813.png,"[SALAH] Foto “Barack Obama, Anthony Fauci dan Melinda Gates mengunjungi ‘pabrik coronavirus’ Laboratorium Cina Wuhan tahun 2015”",1
26,57910,2020-07-07 0:00:00,"Erdogan: Jika Joko Widodo Tidak Terjun ke Politik, Maka Para Penjahatlah yang Akan Mengisinya","Jika Joko Widodo Tidak Terjun ke Politik, Maka Para Penjahatlah yang Akan Mengisinya",57910.jpg,"[SALAH] Erdogan: “Jika Joko Widodo Tidak Terjun ke Politik, Maka Para Penjahatlah yang Akan Mengisinya”",1
27,59059,2020-03-16 0:00:00,Destinasi Wisata Jogja Tertutup dari Tgl 16-31 Maret,Destinasi Wisata Jogja Tertutup dr tgl 16 sd 31 maret,59059.png,[SALAH] “Destinasi Wisata Jogja Tertutup dari Tgl 16-31 Maret”,1
28,62224,2018-09-18 0:00:00,Tentara Cina sudah berada di Indonesia,"Info Penting !
 Tentara Cina sudah berada di Indonesia’
 Bersiaplah jika terjadi apa2 nanti.",62224.jpg,[SALAH] “Tentara Cina sudah berada di Indonesia”,1
29,70579,24-Agu-18,Narasi Kejadian aneh tp nyata di video potongan daging yang masih berkedut,"Subhanallah…
 Kejadian aneh tp nyata didusun kami…",70579.jpg,[SALAH] Narasi “Kejadian aneh tp nyata” di video potongan daging yang masih berkedut,1
30,72868,2017-02-16 0:00:00,: Ahokers Dituding Mengubah Data KPU,Ahokers Dituding Mengubah Data KPU,72868.jpg,(FITNAH): Ahokers Dituding Mengubah Data KPU,1
31,77235,2019-04-25 0:00:00,hasil buntung dari tangan buntung,"PETUGAS “SITUNG” DI KPU, MENGHITUNG BERDASAR PESANAN, hasil buntung ,dari tangan buntung",77235.png,[SALAH] “hasil buntung dari tangan buntung”,1
32,79054,2018-07-13 0:00:00,Klarifikasi Video Viral Polisi Menendang Muka Ibu-Ibu,"“POLISI HEBAT YG BISA MENGHAJAR IBU IBU DISEBUAH MINI MARKET. GARA” HP ANAKNYA TERSENGGOL ANAK IBU TSB DAN PECAH!!!
 MUDAH”N OKNUM POLISI SEGERA MENEMUI JALANNYA !!!”",79054.png,[BENAR] Klarifikasi Video Viral Polisi Menendang Muka Ibu-Ibu,0
33,79836,2018-02-25 0:00:00,Satanisme Buah Disuntik Darah Mengandung HIV,"PERINGATAN!!
 Jika anda melihat buah-buahan yg d dlam’y mengandung warna aneh merah di dalamnya, tidak usah d makan karena sekelompok orang menyuntik buah dengan darah yang mengandung hiv dan aids dengan tujuan membunuh jutaan orang di seluruh dunia , itu adalah satanisme.
 Share jika km peduli ya.",79836.png,[HOAX] “Satanisme Buah Disuntik Darah Mengandung HIV”,1
34,80749,2017-08-03 0:00:00,Azab Pada Yahudi di Israel,"Sebuah video diunggah tanggal 29 Juli oleh akun atas nama Meli Abdillah, bersama foto seperti SS WA berisi tulisan:
 
 “Sementara rakyat Palestina menderita karena diserbu tentara Israel demi mempertahankan Al Aqso, rakyat Israel pesta pora di sebuah bar di Tel Aviv. Ketika sedang berdansa, tiba-tiba tanah terbuka dan orang-orang tertelan masuk ke dalam. ALLAH SUDAH MURKA DENGAN KAUM YAHUDI.”
 
 Saat di-capture, postingan sudah dibagikan sebanyak 54,000 kali.",80749.jpg,(HOAX) Azab Pada Yahudi di Israel,1
35,81769,2016-02-06 0:00:00,Warsito dilarang melakukan Riset kanker oleh Pemerintah,"Dipaksa hentikan risetnya, kasus Dr. Warsito diduga kuat korban kolusi korporasi besar dengan birokrat negara.",81769.jpg,(FITNAH) Warsito dilarang melakukan Riset kanker oleh Pemerintah,1
36,86996,22-Agu-18,Badai Pasir Terjadi Karena Spanduk #2019GantiPresiden,(Simak beberapa video saat terjadinya badai pasir hebat di Tanah suci Mekkah di bawah ini),86996.jpg,[SALAH] Badai Pasir Terjadi Karena Spanduk #2019GantiPresiden,1
37,92175,2020-01-16 0:00:00,"Foto Dibayar PDIP 300ribu di suruh demo ke balaikota, rupanya pada modyar semuanya",Virus corono udh smpe t3 inter be safe guys”,92175.png,"[SALAH] Foto “Dibayar PDIP 300ribu di suruh demo ke balaikota, rupanya pada modyar semuanya”",1
38,95739,2018-05-12 0:00:00,Jawaban Setuju Terhadap Pertanyaan Apa Kita Setuju Dijajah Lagi? di Apel Siaga PDIP,Jawaban “Setuju” Terhadap Pertanyaan “Apa Kita Setuju Dijajah Lagi?” di Apel Siaga PDIP,95739.png,[SALAH] Jawaban “Setuju” Terhadap Pertanyaan “Apa Kita Setuju Dijajah Lagi?” di Apel Siaga PDIP,1
39,99324,2020-05-16 0:00:00,Wapres Rakyat Yang Tidak Mau Bayar Iuran Kenaikan BPJS Dosanya 3 Turunan Tidak Diampuni,Wapres Rakyat Yang Tidak Mau Bayar Iuran Kenaikan BPJS Dosanya 3 Turunan Tidak Diampuni,99324.png,[SALAH] “Wapres Rakyat Yang Tidak Mau Bayar Iuran Kenaikan BPJS Dosanya 3 Turunan Tidak Diampuni”,1
40,101987,2019-03-29 0:00:00,Foto di Post Presiden Chechnya Dukung Prabowo Sandi,Presiden Chechnya Dukung Prabowo Sandi..Kereeeennn..,101987.png,[SALAH] Foto di Post “Presiden Chechnya Dukung Prabowo Sandi”,1
41,103559,2018-07-23 0:00:00,PT KCI Mengklarifikasi Kabar Tiket Kertas Gratis di Stasiun Bogor Pada Senin 23 Juli 2018,"Permintaan maaf khususnya kami sampaikan kepada para pelanggan setia kami,",103559.jpg,[BENAR] PT KCI Mengklarifikasi Kabar Tiket Kertas Gratis di Stasiun Bogor Pada Senin 23 Juli 2018,0
42,106582,2020-08-16 0:00:00,Akun Media Sosial Palsu dengan Nama Bank BCA,"Goodlifebca
 
 •bca.co.id/dibikinsimpel
 
 •Akun Resmi Instagram PT. Bank Central Asia TBK
 
 •BCA Terdaftar & Diawasi OJK
 
 •#Dibikinsimpel
 
 bit.ly/PembukaanRekeningOnlineIG",106582.jpg,[SALAH] Akun Media Sosial Palsu dengan Nama Bank BCA,1
43,109909,2019-05-10 0:00:00,Permen Jeli yang Dibuat dengan Gelatin yang Berasal dari Kulit dan Tulang Hewan.,GUMMIES OR JELLY CANDY ARE GELATIN-BASED CHEWY CANDY WHICH IS MADE BY BOILING SKIN CARTILAGE AND BONES FROM ANIMALS,109909.jpg,[BENAR] Permen Jeli yang Dibuat dengan Gelatin yang Berasal dari Kulit dan Tulang Hewan.,0
44,112167,2018-05-07 0:00:00,Garam Tidak Boleh Dimasak Karena Menjadi Racun,"[...]GARAM TIDAK BOLEH DIMASAK !!.
 Ingat tidak boleh dimasak !!!
 Kesalahan kita (kebanyakan orang Indonesia) ialah kita memasak garam yaitu memasukkan garam ke dalam masakan ketika masakan sedang MENDIDIH/ PANAS.
 Hal tersebut akan menyebabkan garam menjadi r4*cun/toksik… Jika garam dimasak dengan cara di atas, garam akan menyebabkannya ber-asid dan memb4*hayakan kesehatan serta mengundang berbagai penyakit, selain itu kandungan yodium pada garam juga akan hilang dengan percuma. Ingat yodium sangat bermanfaat untuk kesehatan tubuh kita [...]",112167.png,[SALAH] Garam Tidak Boleh Dimasak Karena Menjadi Racun,1
45,112665,2018-02-15 0:00:00,Ternyata Mereka Sudah didepan Mata Badan Tegap Potongan Tentara Berbahasa Mandarin,..ternyata ..mereka sudah didepan mata..badan tegap potongan tentara..berbahasa mandarin..mereka berkumpul tepat di pintu keluar kedatangan..sedang dibagikan kartu (seukuran KTP dibungkus kerta putih) oleh org lokal yg berbaju batik coklat..ketika sy ambil bbrp gambar mrk curiga dan pembagian kartu di lakukan ditempat lain..,112665.png,[DISINFORMASI] “Ternyata Mereka Sudah didepan Mata Badan Tegap Potongan Tentara Berbahasa Mandarin”,1
46,116636,2020-02-10 0:00:00,TERBONGKAR 19 BANDARA DI INDONESIA SEBAGAI JALAN MASUK EMIGRAN CHINA,"TERBONGKAR 19 BANDARA DI INDONESIA SEBAGAI JALAN MASUK EMIGRAN CHINA SEJAK TAHUN 2014 DAN DIRAHASIAKAN OLEH REZIM JOKOWI
 
 Serangan virus Corona yang mematikan telah masuk ke Indonesia melalui para emigran China melalui 19 Bandara di wilayah Indonesia.
 
 Ikatan Dokter Indonesia (IDI) merilis baru 1 bandara yang ketahuan terpapar virus Corona.
 
 Namun dirahasiakan oleh pemerintah.",116636.png,[SALAH] “TERBONGKAR 19 BANDARA DI INDONESIA SEBAGAI JALAN MASUK EMIGRAN CHINA”,1
47,116656,2020-02-04 0:00:00,Pedagang Cina Ngamuk Karena Jeruk Tidak Laku Akibat Wabah Corona,"Hahahaa.. Di malaysia..cina ngamuk..krn jerukny ngga ada yg laku.
 
 Gimana dengan di indonesia ?? Mulai sekarang jangan beli apapun produk milik orang china..
 
 Ayo viralkan",116656.jpg,[SALAH] Pedagang Cina Ngamuk Karena Jeruk Tidak Laku Akibat Wabah Corona,1
48,120016,2018-07-13 0:00:00,Penyebutan Adzan di Video Wawancara Oleh Penyelamat di Thailand | Mention of Adzan in Interview Video by a Rescuer in Thailand,Proses Evakuasi 11 orang remaja & 1 orang guru yg hilang & terjebak di dalam gua di perbatasan Thailand & Myanmar.,120016.png,[SALAH] Penyebutan Adzan di Video Wawancara Oleh Penyelamat di Thailand | [FALSE] Mention of Adzan in Interview Video by a Rescuer in Thailand,1
49,121702,2017-08-12 0:00:00,SETYA NOVANTO AKAN BACAKAN TEKS PROKLAMASI,hancur sudah tananan berbangsa.. Tersangka baca teks proklamasi dalam upacara resmi di Istana Negara,121702.jpg,[HOAX] SETYA NOVANTO AKAN BACAKAN TEKS PROKLAMASI,1
50,123361,2020-07-15 0:00:00,"Setelah Ada Yang Bakar Bendera PDIP, Kaos Gambar Banteng Semakin Go Publik Di Arab Saudi","Setelah ada yang bakar bendera PDIP, kaos bergambar banteng semakin go publik hadir di Arab Saudi.",123361.png,"[SALAH] Setelah Ada Yang Bakar Bendera PDIP, Kaos Gambar Banteng Semakin Go Publik Di Arab Saudi",1
51,127769,2018-09-17 0:00:00,Divisi Humas Polri Klarifikasi Terkait Pesan Berantai Paket Gelap COD Dari China,"Di Jogja mulai ada paket gelap ditujukan ke toko2/Rumah terus jd sasaran….
 akan menerima COD dari Cina seperti itu. Kalau kita bilang tidak merasa pesan , maka ktp akan dipinjam dan difoto oleh pembawa paket, dg alasan untuk konfirmasi ke Cina katanya…",127769.jpg,[KLARIFIKASI] Divisi Humas Polri Klarifikasi Terkait Pesan Berantai Paket Gelap COD Dari China,1
52,128800,2018-03-26 0:00:00,KONTROLER PS TERBUAT DARI HIDUNG ANJING,"Tahukah anda jika Microsoft sebenarnya menggunakan hidung anjing sebagai bahan untuk pembuatan thumbstick pada pengontrol gamecube? Jadi jika anda mempunyai dua pengontrol, maka dibutuhkan dua anjing untuk bisa memproduksi benda tersebut.",128800.jpg,[SALAH] KONTROLER PS TERBUAT DARI HIDUNG ANJING,1
53,128933,2018-03-04 0:00:00,"Pakar IT: 99% Video Porno DPR, Rekayasa","Pakar IT: 99% Video Porno DPR, Rekayasa",128933.png,"[BERITA] “Pakar IT: 99% Video Porno DPR, Rekayasa”",0
54,129074,2018-02-06 0:00:00,Poster Undangan Tahlilan Terbuka Untuk Guru Budi,Selamat pagi teman-teman. Kami informasi ajakan aksi solidaritas untuk (Alm) Budi di lapangan polres sampang adalah HOAX. Polres sampang tidak pernah mengadakan kegiatan tersebut. Be samrt netizen,129074.jpg,[HOAX] Poster Undangan Tahlilan Terbuka Untuk Guru Budi,1
55,129106,2018-01-31 0:00:00,"Presiden Jokowi: Jika Fadli Zon Selalu Kritik Utang Pemerintahan Bagaimana Jika DPR RI dan DPRD dibubarkan,...","Presiden Jokowi: Jika Fadli Zon Selalu Kritik Utang Pemerintahan Bagaimana Jika DPR RI dan DPRD dibubarkan, Maka Indonesia Lebih bisa berhemat Ratusan Triliun, Pasti Indonesia akan Bertambah menjadi Negara Maju",129106.png,"[DISINFORMASI] “Presiden Jokowi: Jika Fadli Zon Selalu Kritik Utang Pemerintahan Bagaimana Jika DPR RI dan DPRD dibubarkan,…”",1
56,131551,2020-07-15 0:00:00,Video Ini adalah pusat Judi terbesar pertama di Arab Saudi Arabia,Astagfirullahal’azim…Mari kita bersama-sama berlindung kepada Allah swt…Ini adalah pusat Judi terbesar pertama di Arab Saudi Arabia. Yang telah di resmikan di Jeddah oleh Fatwa Mufti Wahaby. #Khiamatsemakindekat#,131551.png,[SALAH] Video “Ini adalah pusat Judi terbesar pertama di Arab Saudi Arabia”,1
57,132856,2020-03-10 0:00:00,Anis sedang nyimak mendengarkan Keluhan Warganya yg Terdampak Utang,Anis sedang nyimak mendengarkan Keluhan Warganya yg Terdampak Utang,132856.png,[SALAH] “Anis sedang nyimak mendengarkan Keluhan Warganya yg Terdampak Utang”,1
58,132956,2020-02-19 0:00:00,Foto Gambar pemandangan anak zaman sekarang,"Anak.e sopo se iki Kok pinter tenan lek gambar pemandangan (Anaknya siapa ini
 Kok pintar sekali kalau gambar pemandangan)",132956.png,[SALAH] Foto “Gambar ‘pemandangan’ anak zaman sekarang”,1
59,133305,2019-12-23 0:00:00,"Viral Botol Minuman Meledak, Ini Klarifikasi Floridina","Product Manager Floridina Devi Chrisnatalia mengatakan, Floridina adalah minuman bersifat asam, sehingga bisa berpotensi untuk meledak. Namun, hanya terjadi pada botol minuman yang sudah terbuka dan tidak mengikuti anjuran penyimpanan. Oleh karena itu, Devi mengatakan, pihaknya telah memberikan informasi pada kemasan botol Floridina untuk segera menghabiskan minuman dalam waktu 24 jam setelah dibuka. Jika tidak, minuman yang telah terbuka sebaiknya disimpan di dalam lemari es.",133305.png,"[KLARIFIKASI] Viral Botol Minuman Meledak, Ini Klarifikasi Floridina",1
60,133807,2019-09-19 0:00:00,"Pertandingan Liga 1, PSIS Semarang Vs Persebaya Diselenggarakan Tanpa Penonton","Panitia pelaksana pertandingan PSIS tidak pernah mengunggah berita tersebut. Mohon untuk suporter untuk tidak termakan kabar yang tidak benar. Panpel tidak menjual tiket dan menghimbau kepada seluruh suporter baik PSIS maupun Persebaya untuk menyaksikan pertandingan tersebut melalui tayangan langsung di Indosiar. #PSIS,",133807.png,"[KLARIFIKASI] Pertandingan Liga 1, PSIS Semarang Vs Persebaya Diselenggarakan Tanpa Penonton",1
61,134564,2019-04-27 0:00:00,Suasana kali Sunter  #AniesDimana,"Suasana kali Sunter (POS Kota)..trus gubernur sebagai pemimpin ngapain?

#AniesDimana",134564.png,[SALAH] “Suasana kali Sunter (POS Kota) #AniesDimana”,1
62,134950,2019-02-27 0:00:00,Kedatangan TKA dengan model rambut cepak,Kedatangan TKA dengan model rambut cepak di Batam dan Suta sudah ditunggu dengan E-KTP Dan Vidio Tata Cara Memilih Paslon Presiden 2019-2024 Dengan Menggunakan Bahasa Mandarin.,134950.png,[SALAH] “Kedatangan TKA dengan model rambut cepak”,1
63,135944,2018-09-19 0:00:00,Inasgoc Bantah Belum Bayar Honor Penari Rato Jaroeh di Asian Games 2018,"“Untuk masalah imbalan bagi para penari Rato Jaroeh, Inasgoc sudah berhubungan dengan sekolah masing – masing. Kami tidak ikut campur dengan pengaturan internal sekolah,” ujar Sekretaris Jenderal Inasgoc Indonesia, Eris Heryanto, Selasa (18/9).",135944.jpg,[BENAR] “Inasgoc Bantah Belum Bayar Honor Penari Rato Jaroeh di Asian Games 2018”,0
64,138016,2017-09-21 0:00:00,TRAGIS! 5 Biksu Tewas Diserang Buaya Saat Mengejar dan Menembaki Pengungsi Rohingya,"Bagi etnis Rohingya yang melarikan diri ke Bangladesh, peluang selamat maupun tewas sama besarnya. Sungai Naf maupun Teluk Benggala berarus deras dan penuh buaya. Ditambah kejaran dan berondongan peluru militer dan biksu pengikut Wirathu.....",138016.png,[HOAX] TRAGIS! 5 Biksu Tewas Diserang Buaya Saat Mengejar dan Menembaki Pengungsi Rohingya,1
65,139030,2016-06-16 0:00:00,: Pemerintah Cabut Perda Bernuansa Syariah,Pemerintah Cabut Perda Bernuansa Syariah,139030.jpg,(DISINFORMASI): Pemerintah Cabut Perda Bernuansa Syariah,1
66,139581,2020-07-28 0:00:00,Awas Hati-hati Apa Yang Disemprotkan FPI Adalah Virus Corona,AWAS HATI2 YANG DIMSEMPROTKAN FPI ADALAH VIRUS CORONA!!!!!,139581.png,[SALAH] Awas Hati-hati Apa Yang Disemprotkan FPI Adalah Virus Corona,1
67,144540,2018-07-18 0:00:00,Klarifikasi atas Beredarnya Surat Pernyataan dari Bank Mandiri Tentang Rekening Sofyan Basir Sebesar Rp 104 Triliun,Bertanggungjawab atas penempatan saldo rekening nomor 125-00-0438914-4,144540.jpg,[BENAR] Klarifikasi atas Beredarnya Surat Pernyataan dari Bank Mandiri Tentang Rekening Sofyan Basir Sebesar Rp 104 Triliun,0
68,147947,2020-07-13 0:00:00,Nasi Padang Menjadi Sumber Penularan Covid-19,Nasi Padang sumber penularan virus Covid-19 . Coba bayangi tiap meja tamu2 mkn dak habis sisa2 dikembalikan lagi dan di sajikan lag ke tamu berikutnya ! pun demikian yg bungkus juga bekas2 air liur tamu2 yg mungkin ada yg virus corona ? biasa selesai mkn tamu2 ngobrol2 dulu dan hidangan di meja blm diangkat ? hujan rintik2 lah di hidangan tsb . paling rentang penularan virus corola .,147947.jpg,[SALAH] Nasi Padang Menjadi Sumber Penularan Covid-19,1
69,148165,2020-06-21 0:00:00,"Menurut laporan WHO, Corona Virus adalah yang paling banyak bertahan di lapisan kubis","kamu dengar Menurut laporan WHO, Corona Virus adalah yang paling banyak bertahan di lapisan kubis. Di mana pun virus ini tinggal selama 9-12 jam di tempat lain, di kubis virus ini tetap lebih dari 30 jam.",148165.png,"[SALAH] “Menurut laporan WHO, Corona Virus adalah yang paling banyak bertahan di lapisan kubis”",1
